country,date,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k
Australia,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,2020-01-27,13.251873,13.251873,13.251873,0.050623316,0.050623316,0.050623316,1.8931247,1.8931247,1.8931247,0.0072319023,0.0072319023,0.0072319023
Australia,2020-02-03,1.8370787,1.8370787,1.8370787,0.0070178015,0.0070178015,0.0070178015,-1.6306849,-1.6306849,-1.6306849,-0.006229359,-0.006229359,-0.006229359
Australia,2020-02-10,97.58895,97.58895,97.58895,0.37279835,0.37279835,0.37279835,13.678839,13.678839,13.678839,0.052254364,0.052254364,0.052254364
Australia,2020-02-17,167.67416,167.67416,167.67416,0.64053,0.64053,0.64053,10.012173,10.012173,10.012173,0.038247377,0.038247377,0.038247377
Australia,2020-02-24,308.3764,308.3764,308.3764,1.1780249,1.1780249,1.1780249,20.10032,20.10032,20.10032,0.07678499,0.07678499,0.07678499
Australia,2020-03-02,317.67865,317.67865,317.67865,1.2135603,1.2135603,1.2135603,1.3288925,1.3288925,1.3288925,0.0050764857,0.0050764857,0.0050764857
Australia,2020-03-09,368.3809,368.3809,368.3809,1.4072473,1.4072473,1.4072473,7.2431784,7.2431784,7.2431784,0.027669575,0.027669575,0.027669575
Australia,2020-03-16,502.68314,502.68314,502.68314,1.9202937,1.9202937,1.9202937,19.186035,19.186035,19.186035,0.07329234,0.07329234,0.07329234
Australia,2020-03-23,667.9854,667.9854,667.9854,2.5517628,2.5517628,2.5517628,23.614607,23.614607,23.614607,0.090209864,0.090209864,0.090209864
Australia,2020-03-30,889.88763,889.88763,889.88763,3.3994489,3.3994489,3.3994489,31.700321,31.700321,31.700321,0.121098004,0.121098004,0.121098004
Australia,2020-04-06,988.3899,988.3899,988.3899,3.775736,3.775736,3.775736,14.07175,14.07175,14.07175,0.053755317,0.053755317,0.053755317
Australia,2020-04-13,1027.0922,1027.0922,1027.0922,3.9235818,3.9235818,3.9235818,5.5288925,5.5288925,5.5288925,0.021120854,0.021120854,0.021120854
Australia,2020-04-20,1037.9944,1037.9944,1037.9944,3.9652295,3.9652295,3.9652295,1.5574639,1.5574639,1.5574639,0.0059496486,0.0059496486,0.0059496486
Australia,2020-04-27,1000.0966,1000.0966,1000.0966,3.8204567,3.8204567,3.8204567,-5.4139647,-5.4139647,-5.4139647,-0.020681819,-0.020681819,-0.020681819
Australia,2020-05-04,972.39886,972.39886,972.39886,3.714649,3.714649,3.714649,-3.956822,-3.956822,-3.956822,-0.015115406,-0.015115406,-0.015115406
Australia,2020-05-11,937.9011,937.9011,937.9011,3.5828645,3.5828645,3.5828645,-4.9282503,-4.9282503,-4.9282503,-0.018826349,-0.018826349,-0.018826349
Australia,2020-05-18,887.6034,887.6034,887.6034,3.3907228,3.3907228,3.3907228,-7.1853933,-7.1853933,-7.1853933,-0.027448831,-0.027448831,-0.027448831
Australia,2020-05-25,784.3056,784.3056,784.3056,2.9961162,2.9961162,2.9961162,-14.756822,-14.756822,-14.756822,-0.056372352,-0.056372352,-0.056372352
Australia,2020-06-01,546.0079,546.0079,546.0079,2.0857978,2.0857978,2.0857978,-34.042538,-34.042538,-34.042538,-0.13004547,-0.13004547,-0.13004547
Australia,2020-06-08,375.7101,375.7101,375.7101,1.4352455,1.4352455,1.4352455,-24.32825,-24.32825,-24.32825,-0.09293605,-0.09293605,-0.09293605
Australia,2020-06-15,112.01236,112.01236,112.01236,0.42789704,0.42789704,0.42789704,-37.67111,-37.67111,-37.67111,-0.14390694,-0.14390694,-0.14390694
Australia,2020-06-22,-212.08539,-212.08539,-212.08539,-0.8101848,-0.8101848,-0.8101848,-46.29968,-46.29968,-46.29968,-0.17686883,-0.17686883,-0.17686883
Australia,2020-06-29,-450.78314,-450.78314,-450.78314,-1.7220311,-1.7220311,-1.7220311,-34.099678,-34.099678,-34.099678,-0.13026376,-0.13026376,-0.13026376
Australia,2020-07-06,-691.6809,-691.6809,-691.6809,-2.6422815,-2.6422815,-2.6422815,-34.413963,-34.413963,-34.413963,-0.13146436,-0.13146436,-0.13146436
Australia,2020-07-13,-1013.7786,-1013.7786,-1013.7786,-3.8727233,-3.8727233,-3.8727233,-46.013966,-46.013966,-46.013966,-0.17577738,-0.17577738,-0.17577738
Australia,2020-07-20,-1228.4764,-1228.4764,-1228.4764,-4.6928873,-4.6928873,-4.6928873,-30.671108,-30.671108,-30.671108,-0.11716632,-0.11716632,-0.11716632
Australia,2020-07-27,-1380.1742,-1380.1742,-1380.1742,-5.272386,-5.272386,-5.272386,-21.671108,-21.671108,-21.671108,-0.08278553,-0.08278553,-0.08278553
Australia,2020-08-03,-1506.2719,-1506.2719,-1506.2719,-5.754091,-5.754091,-5.754091,-18.013966,-18.013966,-18.013966,-0.068814926,-0.068814926,-0.068814926
Australia,2020-08-10,-1601.7697,-1601.7697,-1601.7697,-6.1189003,-6.1189003,-6.1189003,-13.642536,-13.642536,-13.642536,-0.052115683,-0.052115683,-0.052115683
Australia,2020-08-17,-1886.4674,-1886.4674,-1886.4674,-7.206471,-7.206471,-7.206471,-40.67111,-40.67111,-40.67111,-0.1553672,-0.1553672,-0.1553672
Australia,2020-08-24,-2205.1653,-2205.1653,-2205.1653,-8.423924,-8.423924,-8.423924,-45.52825,-45.52825,-45.52825,-0.17392191,-0.17392191,-0.17392191
Australia,2020-08-31,-2448.863,-2448.863,-2448.863,-9.354871,-9.354871,-9.354871,-34.813965,-34.813965,-34.813965,-0.1329924,-0.1329924,-0.1329924
Australia,2020-09-07,-2664.9607,-2664.9607,-2664.9607,-10.180384,-10.180384,-10.180384,-30.871107,-30.871107,-30.871107,-0.11793034,-0.11793034,-0.11793034
Australia,2020-09-14,-2966.2585,-2966.2585,-2966.2585,-11.3313675,-11.3313675,-11.3313675,-43.042538,-43.042538,-43.042538,-0.16442625,-0.16442625,-0.16442625
Australia,2020-09-21,-3103.3562,-3103.3562,-3103.3562,-11.855093,-11.855093,-11.855093,-19.585394,-19.585394,-19.585394,-0.07481792,-0.07481792,-0.07481792
Australia,2020-09-28,-3198.254,-3198.254,-3198.254,-12.21761,-12.21761,-12.21761,-13.556822,-13.556822,-13.556822,-0.051788248,-0.051788248,-0.051788248
Australia,2020-10-05,-3391.7517,-3391.7517,-3391.7517,-12.956789,-12.956789,-12.956789,-27.642536,-27.642536,-27.642536,-0.10559691,-0.10559691,-0.10559691
Australia,2020-10-12,-3568.0493,-3568.0493,-3568.0493,-13.630261,-13.630261,-13.630261,-25.185392,-25.185392,-25.185392,-0.09621041,-0.09621041,-0.09621041
Australia,2020-10-19,-3720.1472,-3720.1472,-3720.1472,-14.211288,-14.211288,-14.211288,-21.72825,-21.72825,-21.72825,-0.08300382,-0.08300382,-0.08300382
Australia,2020-10-26,-3792.4448,-3792.4448,-3792.4448,-14.487472,-14.487472,-14.487472,-10.32825,-10.32825,-10.32825,-0.03945482,-0.03945482,-0.03945482
Australia,2020-11-02,-3818.7427,-3818.7427,-3818.7427,-14.587932,-14.587932,-14.587932,-3.7568219,-3.7568219,-3.7568219,-0.014351388,-0.014351388,-0.014351388
Australia,2020-11-09,-3696.4404,-3696.4404,-3696.4404,-14.120727,-14.120727,-14.120727,17.47175,17.47175,17.47175,0.06674361,0.06674361,0.06674361
Australia,2020-11-16,-3695.3381,-3695.3381,-3695.3381,-14.116516,-14.116516,-14.116516,0.15746388,0.15746388,0.15746388,0.0006015258,0.0006015258,0.0006015258
Australia,2020-11-23,-3743.436,-3743.436,-3743.436,-14.300253,-14.300253,-14.300253,-6.8711076,-6.8711076,-6.8711076,-0.026248233,-0.026248233,-0.026248233
Australia,2020-11-30,-3604.9336,-3604.9336,-3604.9336,-13.771163,-13.771163,-13.771163,19.786036,19.786036,19.786036,0.07558439,0.07558439,0.07558439
Australia,2020-12-07,-3638.4314,-3638.4314,-3638.4314,-13.899127,-13.899127,-13.899127,-4.785393,-4.785393,-4.785393,-0.018280622,-0.018280622,-0.018280622
Australia,2020-12-14,-3589.329,-3589.329,-3589.329,-13.711552,-13.711552,-13.711552,7.014607,7.014607,7.014607,0.026796412,0.026796412,0.026796412
Australia,2020-12-21,-3460.627,-3460.627,-3460.627,-13.219898,-13.219898,-13.219898,18.386036,18.386036,18.386036,0.070236266,0.070236266,0.070236266
Australia,2020-12-28,-3415.9023,-3415.9023,-3415.9023,-13.049046,-13.049046,-13.049046,6.3892455,6.3892455,6.3892455,0.024407478,0.024407478,0.024407478
Australia,2021-01-04,-3378.0164,-3378.0164,-3378.0164,-12.904318,-12.904318,-12.904318,5.412279,5.412279,5.412279,0.020675382,0.020675382,0.020675382
Australia,2021-01-11,-3411.4636,-3411.4636,-3411.4636,-13.03209,-13.03209,-13.03209,-4.778197,-4.778197,-4.778197,-0.01825313,-0.01825313,-0.01825313
Australia,2021-01-18,-3222.9111,-3222.9111,-3222.9111,-12.311803,-12.311803,-12.311803,26.936089,26.936089,26.936089,0.10289822,0.10289822,0.10289822
Australia,2021-01-25,-3246.0251,-3246.0251,-3246.0251,-12.400101,-12.400101,-12.400101,-3.3020065,-3.3020065,-3.3020065,-0.012613954,-0.012613954,-0.012613954
Australia,2021-02-01,-3100.806,-3100.806,-3100.806,-11.84535,-11.84535,-11.84535,20.745613,20.745613,20.745613,0.07925006,0.07925006,0.07925006
Australia,2021-02-08,-3094.2532,-3094.2532,-3094.2532,-11.820318,-11.820318,-11.820318,0.9360888,0.9360888,0.9360888,0.0035759413,0.0035759413,0.0035759413
Australia,2021-02-15,-3120.534,-3120.534,-3120.534,-11.920712,-11.920712,-11.920712,-3.7543874,-3.7543874,-3.7543874,-0.014342089,-0.014342089,-0.014342089
Australia,2021-02-22,-3089.4812,-3089.4812,-3089.4812,-11.802089,-11.802089,-11.802089,4.436089,4.436089,4.436089,0.016946249,0.016946249,0.016946249
Australia,2021-03-01,-2997.8115,-2997.8115,-2997.8115,-11.451903,-11.451903,-11.451903,13.095666,13.095666,13.095666,0.050026592,0.050026592,0.050026592
Australia,2021-03-08,-2898.542,-2898.542,-2898.542,-11.072684,-11.072684,-11.072684,14.18138,14.18138,14.18138,0.054174114,0.054174114,0.054174114
Australia,2021-03-15,-2764.8723,-2764.8723,-2764.8723,-10.562055,-10.562055,-10.562055,19.095667,19.095667,19.095667,0.072947115,0.072947115,0.072947115
Australia,2021-03-22,-2712.6025,-2712.6025,-2712.6025,-10.36238,-10.36238,-10.36238,7.467095,7.467095,7.467095,0.028524956,0.028524956,0.028524956
Australia,2021-03-29,-2629.333,-2629.333,-2629.333,-10.044282,-10.044282,-10.044282,11.895666,11.895666,11.895666,0.045442488,0.045442488,0.045442488
Australia,2021-04-05,-2696.4634,-2696.4634,-2696.4634,-10.300726,-10.300726,-10.300726,-9.590048,-9.590048,-9.590048,-0.036634825,-0.036634825,-0.036634825
Australia,2021-04-12,-2508.9937,-2508.9937,-2508.9937,-9.584576,-9.584576,-9.584576,26.78138,26.78138,26.78138,0.10230722,0.10230722,0.10230722
Australia,2021-04-19,-2336.324,-2336.324,-2336.324,-8.924962,-8.924962,-8.924962,24.667095,24.667095,24.667095,0.094230466,0.094230466,0.094230466
Australia,2021-04-26,-2126.4543,-2126.4543,-2126.4543,-8.123241,-8.123241,-8.123241,29.98138,29.98138,29.98138,0.1145315,0.1145315,0.1145315
Australia,2021-05-03,-1856.3846,-1856.3846,-1856.3846,-7.091552,-7.091552,-7.091552,38.58138,38.58138,38.58138,0.14738426,0.14738426,0.14738426
Australia,2021-05-10,-1705.115,-1705.115,-1705.115,-6.5136886,-6.5136886,-6.5136886,21.609951,21.609951,21.609951,0.08255191,0.08255191,0.08255191
Australia,2021-05-17,-1560.6453,-1560.6453,-1560.6453,-5.961802,-5.961802,-5.961802,20.638523,20.638523,20.638523,0.07884097,0.07884097,0.07884097
Australia,2021-05-24,-1336.9757,-1336.9757,-1336.9757,-5.107364,-5.107364,-5.107364,31.952808,31.952808,31.952808,0.12206253,0.12206253,0.12206253
Australia,2021-05-31,-1264.306,-1264.306,-1264.306,-4.8297596,-4.8297596,-4.8297596,10.38138,10.38138,10.38138,0.039657783,0.039657783,0.039657783
Australia,2021-06-07,-1077.6364,-1077.6364,-1077.6364,-4.1166654,-4.1166654,-4.1166654,26.667095,26.667095,26.667095,0.10187064,0.10187064,0.10187064
Australia,2021-06-14,-911.9667,-911.9667,-911.9667,-3.4837925,-3.4837925,-3.4837925,23.667095,23.667095,23.667095,0.090410374,0.090410374,0.090410374
Australia,2021-06-21,-812.697,-812.697,-812.697,-3.1045737,-3.1045737,-3.1045737,14.18138,14.18138,14.18138,0.054174114,0.054174114,0.054174114
Australia,2021-06-28,-756.82733,-756.82733,-756.82733,-2.8911467,-2.8911467,-2.8911467,7.9813805,7.9813805,7.9813805,0.030489573,0.030489573,0.030489573
Australia,2021-07-05,-699.5577,-699.5577,-699.5577,-2.6723716,-2.6723716,-2.6723716,8.18138,8.18138,8.18138,0.03125359,0.03125359,0.03125359
Australia,2021-07-12,-570.48804,-570.48804,-570.48804,-2.1793141,-2.1793141,-2.1793141,18.438522,18.438522,18.438522,0.070436776,0.070436776,0.070436776
Australia,2021-07-19,-501.61835,-501.61835,-501.61835,-1.916226,-1.916226,-1.916226,9.838523,9.838523,9.838523,0.03758402,0.03758402,0.03758402
Australia,2021-07-26,-410.3487,-410.3487,-410.3487,-1.567568,-1.567568,-1.567568,13.038524,13.038524,13.038524,0.0498083,0.0498083,0.0498083
Australia,2021-08-02,-467.07904,-467.07904,-467.07904,-1.7842828,-1.7842828,-1.7842828,-8.104334,-8.104334,-8.104334,-0.030959265,-0.030959265,-0.030959265
Australia,2021-08-09,-580.20935,-580.20935,-580.20935,-2.2164507,-2.2164507,-2.2164507,-16.161476,-16.161476,-16.161476,-0.061738256,-0.061738256,-0.061738256
Australia,2021-08-16,-675.7397,-675.7397,-675.7397,-2.581385,-2.581385,-2.581385,-13.647191,-13.647191,-13.647191,-0.052133467,-0.052133467,-0.052133467
Australia,2021-08-23,-879.47003,-879.47003,-879.47003,-3.3596525,-3.3596525,-3.3596525,-29.104334,-29.104334,-29.104334,-0.1111811,-0.1111811,-0.1111811
Australia,2021-08-30,-1018.2004,-1018.2004,-1018.2004,-3.8896146,-3.8896146,-3.8896146,-19.818619,-19.818619,-19.818619,-0.075708866,-0.075708866,-0.075708866
Australia,2021-09-06,-1166.9307,-1166.9307,-1166.9307,-4.4577775,-4.4577775,-4.4577775,-21.24719,-21.24719,-21.24719,-0.08116613,-0.08116613,-0.08116613
Australia,2021-09-13,-1157.061,-1157.061,-1157.061,-4.4200745,-4.4200745,-4.4200745,1.4099518,1.4099518,1.4099518,0.0053861397,0.0053861397,0.0053861397
Australia,2021-09-20,-1221.3914,-1221.3914,-1221.3914,-4.665822,-4.665822,-4.665822,-9.190048,-9.190048,-9.190048,-0.03510679,-0.03510679,-0.03510679
Australia,2021-09-27,-999.5217,-999.5217,-999.5217,-3.8182607,-3.8182607,-3.8182607,31.695665,31.695665,31.695665,0.12108022,0.12108022,0.12108022
Australia,2021-10-04,-904.4521,-904.4521,-904.4521,-3.4550862,-3.4550862,-3.4550862,13.581381,13.581381,13.581381,0.051882062,0.051882062,0.051882062
Australia,2021-10-11,-812.9824,-812.9824,-812.9824,-3.105664,-3.105664,-3.105664,13.067095,13.067095,13.067095,0.04991745,0.04991745,0.04991745
Australia,2021-10-18,-663.31274,-663.31274,-663.31274,-2.5339127,-2.5339127,-2.5339127,21.38138,21.38138,21.38138,0.08167875,0.08167875,0.08167875
Australia,2021-10-25,-473.44308,-473.44308,-473.44308,-1.808594,-1.808594,-1.808594,27.124237,27.124237,27.124237,0.10361697,0.10361697,0.10361697
Australia,2021-11-01,-300.7734,-300.7734,-300.7734,-1.1489807,-1.1489807,-1.1489807,24.667095,24.667095,24.667095,0.094230466,0.094230466,0.094230466
Australia,2021-11-08,-202.10374,-202.10374,-202.10374,-0.772054,-0.772054,-0.772054,14.095666,14.095666,14.095666,0.05384668,0.05384668,0.05384668
Australia,2021-11-15,96.16592,96.16592,96.16592,0.36736223,0.36736223,0.36736223,42.60995,42.60995,42.60995,0.16277374,0.16277374,0.16277374
Australia,2021-11-22,285.2356,285.2356,285.2356,1.0896249,1.0896249,1.0896249,27.009953,27.009953,27.009953,0.103180386,0.103180386,0.103180386
Australia,2021-11-29,510.10526,510.10526,510.10526,1.9486468,1.9486468,1.9486468,32.124237,32.124237,32.124237,0.1227174,0.1227174,0.1227174
Australia,2021-12-06,705.5749,705.5749,705.5749,2.695358,2.695358,2.695358,27.924238,27.924238,27.924238,0.10667303,0.10667303,0.10667303
Australia,2021-12-13,911.04456,911.04456,911.04456,3.4802701,3.4802701,3.4802701,29.35281,29.35281,29.35281,0.1121303,0.1121303,0.1121303
Australia,2021-12-20,1273.1143,1273.1143,1273.1143,4.863408,4.863408,4.863408,51.72424,51.72424,51.72424,0.19759113,0.19759113,0.19759113
Australia,2021-12-27,1536.7839,1536.7839,1536.7839,5.8706493,5.8706493,5.8706493,37.667095,37.667095,37.667095,0.1438916,0.1438916,0.1438916
Australia,2022-01-03,1848.6372,1848.6372,1848.6372,7.0619564,7.0619564,7.0619564,44.55048,44.55048,44.55048,0.17018674,0.17018674,0.17018674
Australia,2022-01-10,2575.1572,2575.1572,2575.1572,9.837327,9.837327,9.837327,103.788574,103.788574,103.788574,0.39648145,0.39648145,0.39648145
Australia,2022-01-17,3478.6772,3478.6772,3478.6772,13.288853,13.288853,13.288853,129.0743,129.0743,129.0743,0.4930751,0.4930751,0.4930751
Australia,2022-01-24,4269.531,4269.531,4269.531,16.309982,16.309982,16.309982,112.97905,112.97905,112.97905,0.43158987,0.43158987,0.43158987
Australia,2022-01-31,5058.7173,5058.7173,5058.7173,19.324743,19.324743,19.324743,112.74096,112.74096,112.74096,0.43068033,0.43068033,0.43068033
Australia,2022-02-07,5640.2373,5640.2373,5640.2373,21.546202,21.546202,21.546202,83.07429,83.07429,83.07429,0.31735107,0.31735107,0.31735107
Australia,2022-02-14,6063.9243,6063.9243,6063.9243,23.164722,23.164722,23.164722,60.526672,60.526672,60.526672,0.23121719,0.23121719,0.23121719
Australia,2022-02-21,6428.9443,6428.9443,6428.9443,24.55913,24.55913,24.55913,52.14572,52.14572,52.14572,0.19920121,0.19920121,0.19920121
